category;common_name;diseases_pests;exposure;family;flowering;flowers_color;foliage_type;height;latin_name;multiplication_methods;origin;plant_type;plantation_repotting;related_species;rusticity;soil_acidity;soil_humidity;soil_type;synonyms;trimming;toxicity;usage;vegetation_type 
;;;ensoleillée à mi-ombre;Grossulariacées;avril-mai;pêche;caduc;1,20 à 2 m;Ribes x gordonianum;bouture;horticole;arbuste à fleurs;automne, printemps;;très rustique, -34°C;légèrement acide à légèrement basique;normal;tolérant, sol riche;;;;massif ornemental, haie fleurie;vivace
;;;ensoleillée à mi-ombre;Salicacées;mars à avril;argentée puis jaune pâle;caduc;0,80 à 3 m;Salix caprea 'Kilmarnock';par greffage;Eurasie, horticole;petit arbre pleureur;automne, printemps;;rustique -24°C;tolérant;normal à frais;tolérant;Salix caprea 'Pendula';;;en isolé, en massif;arbustive
;;les pucerons, notez que le seringat est rarement malade, il est donc inutile de le traiter;soleil, mi-ombre;Hydrangeacées, Philadelphacées;mai, juin;blanc, parfum de fleur d'oranger;caduc;de 1,5 à 3 m selon les variétés;Philadelphus;boutures herbacées en juin et juillet, en serre à l'étouffée, boutures à bois sec plus faciles entre novembre et février;régions tempérées de l'hémisphère nord;arbuste à fleurs;plantation d'octobre à février;;-25°C;neutre à calcaire;normal;tout type de terre;;Après la floraison, supprimez les branches âgées et dégarnissez bien le centre de l'arbuste. N'hésitez pas à raccourcir sévèrement les branches qui ont fleuri;;haie libre, isolé, en bac de 40 cm de profondeur au balcon;vivace
;;les cochenilles;soleil, mi-ombre, évitez les vents froids;Rutacées;avril, mai;blanc;persistant;de 60 à 120 cm;Skimmia japonica;semis, bouturage;Asie, Japon, Himalaya;arbuste;Plantez de préférence les skimmias en automne;;rustique;neutre à acide;normal;riche en humus, terre de bruyère;;;Mâchonner les feuilles provoque de bons désordres intestinaux. Les baies sont également toxiques.;massif de terre de bruyère, bac, couvre-sol pour Skimmia japonica 'Rogersii', jardinière;vivace
;;;ensoleillée à mi-ombre;Rosacées;mars;blanc;caduc;1,50 m;Spiraea thunbergii;boutures, marcottage;Est de la Chine;arbuste à fleurs;automne et printemps;;très rustique, -25 °C;acide à légèrement basique;sec à frais;tolérant;;;;haie, massif, en isolé;vivace
;;;ensoleillée à mi-ombre;Rosacées;mai à juin;blanche;caduc;jusqu'à 2m;Spiraea x vanhouttei;boutures, marcottage;Horticole;arbuste à fleurs;automne et printemps;;rustique, -25 °C;tolérant;sec à frais;tolérant;;;;haie, massif;vivace
;;;mi-ombre;Styracacées;mai à juin;blanc;caduc;3 à 6 m;Styrax japonicus;boutures, semis;Japon, Corée, Chine;arbuste ornemental;automne jusquà mars;;rustique, -18°C;acide à neutre;normal à frais;argilo-limoneux;Styrax japonica;;;massif, isolé;vivace
;;oïdium, teigne du lilas;mi-ombre à plein soleil;Oléacées;mai, juin;mauve;caduc;4 m;Syringa josikaea;boutures, semis, division de rejet;Europe centrale, Ukraine, Roumanie;arbuste;automne, printemps;;très rustique, -29°C;acide à neutre;frais;humifère et tourbeux;;;;lisière, en isolé, haie;vivace
;;;mi-ombre à plein soleil;Oléacées;avril-mai;mauve violacée;caduc;1,50 à 2 m;Syringa microphylla;boutures, semis;Chine, Corée;arbuste;automne, printemps;;très rustique, -29 °C;légèrement acide à légèrement basique;bien drainé, supporte les sols assez secs;terre riche, tolérant;Syringa pubescens var. microphylla;;;en isolé, en massif, en haie libre;vivace
;;;mi-ombre à plein soleil;Oléacées;avril-mai;mauve violacée;caduc;1 à 2 m;Syringa x laciniata;boutures, semis;Asie;arbuste ornemental;automne, printemps;;très rustique jusqu'à -29 °C;acide à légèrement basique;frais;terre riche et bien drainé;Syringa x persica var laciniata;;;isolé, en massif;vivace
;;résistant aux maladies;soleil, mi-ombre;Oléacées;juin, juillet;blanc;caduc, persistant selon les espèces;4 m;Ligustrum;bouturage en automne;Europe;arbuste;printemps, automne;;rustique;neutre;normal;peu importe, même mauvais;;Taillez-le en mai et en septembre pur obtenir une haie bien dense;toutes les parties de la plante sont toxiques;haie taillée, isolé;vivace
;;;ensoleillée à mi-ombre;Caprifoliacées;mai;blanche;caduc;1,50 à 2 m;Viburnum carlesii;boutures, marcottage, semis;Japon, Corée;arbuste à fleurs;automne et printemps;;très rustique, -29°C;moyennement acide à neutre;normal, plus darrosage en période très chaude;tolérant;;;;arbuste isolé, haie fleurie, massif;vivace
;;;ensoleillée à mi-ombre;Caprifoliacées;mai;crème;persistant;3 m;Viburnum cinnamomifolium;boutures, marcottage, semis;Japon, Corée;arbuste à fleurs;automne et printemps;;rustique, -17 °C;acide à neutre;normal;riche et drainant, humifère;Viburnum sempervirens;;;arbuste isolé, haie fleurie, massif;vivace
;;;ensoleillée à ombre légère;Caprifoliacées;mai;blanc;persistant;jusqu'à 1 m;Viburnum davidii;boutures, marcottage, semis;Chine;arbuste à fleurs et fruits;automne et printemps;;rustique, -15 °C;moyennement acide à neutre;normal;tolérant, même aux sols lourds;;;;arbuste isolé, massif, couvre-sol;vivace
;;;ensoleillée à mi-ombre;Caprifoliacées;mai, juin;blanche;caduc;2 à 3 m;Viburnum dilatatum;boutures, marcottage, semis;Asie orientale;arbuste à fleurs et fruits décoratifs;automne et printemps;;très rustique, jusqu'à -26°C;moyennement acide à basique;normal;tolérant, même aux sols lourds;Viburnum brevipes, Viburnum ulvotomentosum;;;arbuste isolé, haie fleurie, massif;vivace
;;les taches noires, les pucerons, les charançons;soleil, mi-ombre;Caprifoliacées;mai;blanc;caduc;4 à 5 m;Viburnum lantana;semis, bouturage en été;Europe, Asie de l'ouest;arbuste à fleurs;printemps, automne;;rustique;neutre;normal à frais;drainé, riche;;coupez les fleurs fanées, taillez après la floraison pour lui conserver une forme compacte;les baie sont toxiques;haie libre, isolé;vivace
;;les pucerons noirs;soleil, mi-ombre;Caprifoliacées;mai, juin;blanc;caduc;4 m;Viburnum opulus;semis, bouturage, marcottage de printemps, prélèvement de drageons;Asie, Europe;arbuste à fleurs;printemps, automne;;rustique;neutre;frais;riche en humus;;;les baies rouges sont toxiques;haie libre, fond de massif, isolé;vivace
;;Armillaire, taches noires, pucerons et charançons;Plein soleil à ombrage léger;Adoxacée (anciennement Caprifoliacées);En mai et juin;Blanche;Caduc;de 2 à 3m de haut;Viburnum plicatum;On optera pour des boutures herbacées en été. C'est la seule option, car ne produisant pas de fruits, le semis est impossible;Horticole;arbuste à fleurs;D'octobre à avril, en évitant les périodes de gel;;-15°C sans problème. Attention toutefois aux gels tardifs;|Neutre à plutôt acide ; il supporte une légère alcalinité|;|Bonne fraîcheur voire une certaine humidité ; supporte mal les sols secs|;Riche, sablo-humique à argilo-humide, donc de toute façon avec une part importante d'humus et pas trop lourd;;Suppression éventuelle des fleurs fanées ainsi que du bois mort au cur de l'arbuste. On taillera les rameaux défleuris au niveau des gros bourgeons ou au-dessus des jeunes pousses. On peut le tailler assez sec pour favoriser la formation de nouvelles tiges. Toutefois son port gracile et original préconise qu'on le laisse tranquille de ce côté;L'espèce type ne produit pas de fruits et est donc exempte de risques toxiques. Attention toutefois aux cultivars en produisant, ils contiennent de la saponine et de la viburnine, toutes deux pouvant provoquer des irritations et des gastro-entérites;En haie fleurie ou dans des massifs arbustifs, en bac;Vivace
;;;ensoleillée à mi-ombre;Caprifoliacées;mai à juin;blanche;caduc;de 4 à 5m;Viburnum prunifolium;boutures, marcottage, semis;Amérique du nord;arbuste à fleurs;automne et printemps;;rustique, -25 °C;tolérant;normal, tolère la sécheresse;tolérant;;;;haie, arbre isolé, plante médicinale;vivace
;;les taches noires, les pucerons;soleil;Caprifoliacées;mai, juin;blanc crème;persistant;5 m;Viburnum rhytidophyllum;semis, bouturage en été;Chine du centre-ouest;arbuste à fleurs;printemps, automne;;très rustique;normal;frais;ordinaire;;taillez éventuellement les branches disgraçieuses;fruits non comestibles;haie libre, isolé;vivace
;;;ensoleillée à mi-ombre;Caprifoliacées;fin avril-mai;blanc;caduc;1,20 à 2-3 m;Viburnum x carlcephalum;boutures, marcottage;horticole;arbuste à fleurs;automne et printemps;;rustique, -23 °C;moyennement acide à neutre;normal à frais;tolérant;;;;arbuste isolé, massif;vivace
;;;ensoleillé à mi-ombre;Caprifoliacées;avril-mai;jaune à rose;caduc;1, 50 à 3 m;Weigela subsessilis;boutures, marcottage, semis;Corée;arbuste à fleurs;automne et printemps;;très rustique, jusqu'à -34°C;acide à neutre;normal à frais;drainant, assez tolérant;;;;arbuste isolé, haie fleurie, massif;vivace
;;les nématodes;soleil;Caprifoliacées;mai, possible remontée en août;blanc, jaune, rose, rouge, pourpre;caduc;jusqu'à 4m selon l'espèce;Weigela;semis, bouturage après la floraison en juin ou à l'automne;Asie;arbuste à fleurs;automne;;très rustique;neutre;normal;riche, drainé;;Taillez votre Weigélia après sa floraison. N'hésitez à réduire jusque la base les rameaux ayant fleuris et supprimez les bois les plus anciens.;;isolé, haie libre;vivace
;;;mi-ombre à plein soleil;Sapindacées;avril, mai;blanc;caduc;2 à 7 m;Xanthoceras sorbifolium;boutures, semis;Chine, Corée;arbuste, petit arbre;automne, printemps;;très rustique, -23° C;très acide à basique;frais à sec;tolérant;;;;massif, lisière, arbre isolé, permaculture, comestible;vivace
;;;ombre à mi-ombre;Ericacées;mai à juin;blanc;caduc;0,50 à 1 m;Zenobia pulverulenta;marcottage, semis;Amérique du nord;arbuste;printemps;;rustique jusqu'à -23°C;acide;frais à humide;siliceux et léger, terre de bruyère;;légère taille chaque année après la floraison;;massif, lisière;vivace
;;résistant aux maladies;soleil à mi-ombre;Amaryllidacées;de mai à juin;blanc;caduc;de 20 à 50 cm;Allium ursinum;semis en juillet après récolte des graines, division des touffes après fanaison du feuillage;Europe et Asie;bulbe, plante indigène;été;;très rustique, -34 °C;neutre à basique;frais à humide;riche en humus, sous-bois;;éventuellement ôter les tètes défleuries;comestible;massif, sous-bois, potager, plante culinaire, plante médicinale, permaculture;persistant
;;la rouille, le mildiou, la pourriture blanche, la teigne et la mouche de l'oignon;soleil;Amaryllidacées;été;blanc;caduc;60 cm;Allium sativum;division des caïeux;Asie;légume;printemps, automne;;selon les variétés;neutre;normal à sec;léger;;;;potager;bulbe
;;la rouille, le mildiou, la teigne ou ver du poireau, la mouche de l'oignon;soleil;Amaryllidacées;été;blanc;caduc;jusqu'à 90cm pour le feuillage;Allium ampeloprasum;récolte des bulbes en fin d'été;Asie centrale;bulbe;printemps, automne;;rustique;neutre;normal;meuble, frais, riche en humus bien décomposé;;;;potager;vivace
;;;ensoleillée;Amaryllidacées;floraison rare;blanc;persistant;80 a 100 cm;Allium ampeloprasum var. sectivum;division des touffes;Europe méridionale, Afrique du Nord;légume perpétuel;automne et printemps;;très rustique jusqu'à -25 °C;neutre à basique, aime le calcaire;normal;sol riche et drainant;;;;potager;bulbe vivace
;;;ensoleillée;Amaryllidacées;floraison rare;blanc;persistant;80 a 100 cm;Allium cepa var. aggregatum;division des bulbes;;légume perpétuel;automne et printemps;;très rustique, -25°C;neutre à basique, aime le calcaire;normal;sol riche et drainant;;;;potager;bulbe vivace
;;;soleil;Amaryllidacées;été;rose;persistant;jusqu'à 50cm;Allium cepa var. Proliferum;division de la touffe tous les 4-5 ans;Europe méridionale, Egypte;vivace;printemps, automne;;rustique;neutre;normal;léger, riche, bien drainé;;;consommation des bulbilles;potager;persistant
;;la mouche de l'oignon, la teigne du poireau;soleil;Amaryllidacées;mai-juin;crème;caduc;de 30 à 40 cm;Allium fistulosum;division de la touffe;Chine;bulbe;printemps;;rustique;neutre;normal;ordinaire, frais;;;;potager, bordure, rocaille;vivace
;;fonte des semis, limaces, pucerons;soleil;Apiacées, Ombellifères;de juin à septembre;jaune verdâtre;caduc;60 cm à 1,50 m;Anethum graveolens;semis au printemps;Moyen orient;aromatique;au printemps;;rustique;neutre;normal voire sec;bien drainé, meuble;Peucedanum anethum, Peucedanum graveolens, Peucedanum sowa;;feuilles et graines comestibles;potager;annuelle
;;;mi-ombre, ombre claire;Apiacées, Ombellifères;juillet à août;blanche, parfois jaune;caduc;2,40 m;Angelica archangelica;semis;Europe du Nord, Asie;plante herbacée;printemps;;très rustique, jusqu'à -34 °C;très acide à alcalin;normal à humide;sol riche et ordinaire, argile, limon;Angelica officinalis;;;plante comestible, condimentaire, floraison et silhouette ornementale, plante médicinale, mellifère;bisannuelle ou vivace de vie brève
;;;mi-ombre;Apiacées, Ombellifères;mai à octobre;blanche;caduc;35 à 60 cm;Anthriscus cerefolium;semis;Europe centrale et orientale;plante herbacée;printemps, été;;très rustique jusqu'à -26 °C;neutre à légèrement basique;normal à frais;limono-argileux, terreau;Chaerophylum sativum;;;condimentaire;annuelle
;;;ensoleillé;Astéracées, Composées;juillet, août;rose;semi-persistant;Jusqu'à 2 m;Arctium lappa;semis;Europe, Asie;herbacée;printemps, été;;très rustique jusqu'à -34 °C;neutre à basique;normal;riche;Lappa major, var.edulis, Lappa edulis, Lappa major;;;légume, plante médicinale;bisannuelle
;;résistant aux maladies;plein soleil;Brassicacées, Crucifères;de mai à août;blanc;persistant;1 m;Armoracia rusticana;semis et boutures de racines au printemps, division de la touffe en automne;Sud-est de l'europe, Amérique du nord;plante aromatique;printemps, automne;;rustique;neutre;frais;riche en humus, bien drainé;Cochlearia armoracia;pas de taille;;potager;vivace
;;la rouille;plein soleil;Astéracées, Composées;de juillet à octobre;jaune;persistant;jusqu'à 1m, éétalement important;Artemisia absinthium;semis au printemps à l'abri du froid, division de touffes à l'automne et au printemps, boutures herbacée et à talon en juin;régions tempérées de l'Asie, de l'Europe et d'Afrique du Nord;aromatique;printemps, automne;;rustique;neutre;normal;riche en humus, bien drainé;;A l'automne, rabattez vos pieds d'absinthe à la base.;plante aromatique mais attention elle possède des substances dangereuses ( à utiliser à faible dose );potager, massif;vivace
;;les pucerons, la rouille;soleil;Astéracées, Composées;août;blanc;persistant;jusqu'à 1,2 m;Artemisia dracunculus;division de la touffe au printemps ou à l'automne, bouturage au printemps;Centre de l'Europe, sud de la Russie;plante aromatique;printemps, automne;;semi-rustique, à protéger dans les régions aux hivers rudes;neutre;normal;riche en humus, bien drainé;;rabattez la touffe à la base à l'automne ou au printemps pour conserver une touffe compacte;feuilles utilisées en cuisine, utilisées en infusion;potager, massif, pot, jardinière;vivace arbustive
;;résistant aux maladies et aux insectes;soleil, mi-ombre;Labiacées, Lamiacées, Labiées;été;blanc;persistant;40 cm;Ocimum basilicum;semis en place en avril-mai, ou sous-abri en mars et repiquage en mai, bouturage;Inde;condiment;printemps;;gélif;neutre;frais;riche en humus, bien drainé;;coupez les fleurs dès leur apparition pour favoriser le développement du feuillage;comestible;potager, en pot;annuel
;;;mi-ombre à ombre claire;Bégoniacées;juillet à octobre;orange, rouge, rose, jaune, blanc;persistant;40 à 70 cm en tout sens;Begonia boliviensis;boutures, semis;Argentine, Bolivie;plante à tubercule;printemps;;non rustique, 5 °C;légèrement acide à neutre;frais;riche et humifère;;;;plante pour jardinière;vivace
;;l'oïdium;plein soleil, mi-ombre;Boraginacées, Borraginacées, Boragacées;été;bleu;caduc;de 40 à 60 cm;Borago officinalis;semis au printemps après les gelées;Asie;plante aromatique;printemps;;rustique -15°C;neutre;normal;bien drainé, léger;;pas de taille;une consommation excessive est toxique pour le foie;potager, massif;annuelle
;;;soleil;Poacées, Graminées;toute l'année;blanc;persistant;2 m;Saccharum officinarum;division de la touffe, bouturage par tronçon de cannes;Mélanésie;herbe géante;printemps;;15°C minimum en hiver;neutre;normal;mélange de terreau et de terre ordinaire, drainé;;;;véranda, serre;vivace
;;;ensoleillée;Capparacées, Capparidacées;mars à mai;blanc;persistant;1 à 2 m;Capparis spinosa;bouturage, semis;Europe du sud et nord de l'Afrique, Himalaya;plante méditerranéenne;printemps, automne;;rustique -7°C;neutre à basique;normal à sec;pauvre et caillouteux;;;;potée, massif, plante condimentaire, plante médicinale;arbustive
;;;ensoleillée à mi-ombre;Astéracées, Composées;juin à septembre;blanc;caduc;25 à 50 cm;Chamaemelum nobile;boutures, semis;Europe;plante officinale, condimentaire et ornementale;printemps, automne;;rustique, -19°C;légèrement acide à légèrement basique;sec à frais;drainant et sablonneux;Anthriscus nobile;;;massif, tisane, aromathérapie;vivace
;;le pourrissement des bulbes et du collet dû à trop de fumier et d'humidité. Il faut donc éviter le fumier et apporter du sable pour drainer vos plantes;soleil;Amaryllidacées;mai;rose;semi-persistant;de 20 à 30 cm;Allium schoenoprasum;semis ou division de la touffe en mars-avril;Europe occidentale;condiment;printemps;Allium fistolusum;rustique;neutre;normal;ordinaire, frais;;coupez à ras du sol la touffe au moment de la floraison pour que le plante reproduise du feuillage. L'idéal est de disposer de plusieurs touffes pour alterner la taille.;comestible;potager, bordure, rocaille;vivace
;;;ensoleillée;Labiacées, Lamiacées, Labiées;avril à septembre;blanc, bleuté, mauve;caduc;30 à 60 cm;Clinopodium nepeta;semis, division;Europe, Afrique, Asie mineure;herbacée;printemps, automne;;très rustique, -24°C;légèrement acide à alcalin;normal à sec;calcaire, argileux ou limoneux;Calamintha nepetoides, Clinopodium nepeta;;;massif, potée, bordure, plante aromatique;plante vivace
;;pucerons;soleil, mi-ombre;Apiacées, Ombellifères;juin, juillet, aout;blanc, rose;persistant;30 à 60 cm;Coriandrum sativum;semis au printemps;Asie occidentale, Bassin méditerranéen, Proche orient;aromatique;printemps;;rustique;neutre, acide ou calcaire;normal;bien drainé, humifère;;;tige, fleurs et graines comestibles;potager;annuelle
;;pourriture, rongeurs;soleil;Iridacées;automne;lilas;caduc;5 cm;Crocus sativus;division des bulbes;incertaine;fleur;été;;rustique;neutre à calcaire;normal à sec;bien drainé, sec;;;;rocaille, prairies fleuries, rocailles, massifs et culture du safran;vivace
;;;mi-ombre, ombre lumineuse;Zingibéracées;autour de septembre;blanc rosé;caduc;60 m à 90 m;Curcuma longa;division;Asie du Sud;plante rhizomateuse, plante aromatique;printemps;;rustique, jusqu'à -12 °C;légèrement acide à légèrement alcalin;normal à frais;riche et drainant;Curcuma domestic, Curcuma ochrorhiza, Curcuma soloensis, Curcuma tinctoria;;;épices, plante médicinale, colorant;vivace
;;;soleil à mi-ombre;Brassicacées, Crucifères;avril  à novembre;jaune;caduc;30 à 80  cm;Diplotaxis tenuifolia;semis;Europe, Asie, Afrique, Méditerranée;condiment, plante médicinale;printemps, automne;;rustique jusqu'à -15°C;basique;normal;tolérant, supporte les sols difficiles, sablonneux;;;;friche, chemin, terrain vague;bisannuelle ou vivace à vie brève
;;la pourriture blanche, le mildiou, les thrips;plein soleil;Amaryllidacées;été;blanc;caduc;50 cm;Allium ascalonicum;semis, division des caïeux;Moyen-orient;légume;d'octobre à mars pour les régions les plus froides;;selon les variétés;neutre;normal, gare à l'humidité;léger, sablonneux, bien drainé;;pas de taille;bulbe comestible;potager;bulbe
;;résistant aux maladies;ombragée à mi-ombre;Rubiacées;de mai à juin;blanc;semi-persistant;de 20 à 45 cm;Galium odoratum;semis, division;Europe et Asie;plante indigène, plante aromatique, plante ornementale;printemps, automne;;très rustique, jusqu'à -25°C;neutre à basique;assez frais à humide;riche et frais;Asperula odorata;;comestible;massif, sous-bois, jardin aromatique, permaculture;vivace
;;limaces, fontes de semis;ombre permanente;Araliacées;juin;ombelle blanchâtre;caduc;jusqu'à 40cm;Panax;graines à stratifier;Asie du nord;plante médicinale;fin d’hiver;;fragile en début de végétation;pH 6 à 6,8;frais;léger, sableux ou humifère;;;;vertus médicinales;vivace
;;;soleil à mi-ombre;Légumineuses, Fabacées, Papilionacées;juin à juillet;bleuâtre à violacé;caduc;1,50 m;Glycyrrhiza glabra;rejets, semis;Europe méditerranéenne et Asie centrale;plante herbacée;automne, printemps;;rustique, -15°C;légèrement acide à basique;frais et drainant;drainant;;;;culinaire, et médicinale;vivace
;;;soleil à mi-ombre;Poacées, Graminées;juin à septembre;paille;semi-persistant;30 à 70 cm;Hierochloe odorata;division, semis;Europe du Nord;graminée;printemps;;très rustique, -39 °C;légèrement acide à neutre;frais;organique mais pauvre en azote;;;;pleine terre ou potée, utilisée pour son parfum;herbacée
;;rouilles;soleil, mi-ombre;Labiacées, Lamiacées, Labiées;juillet à septembre;bleu à violet;persistant;de 30 à 60 cm;Hyssopus officinalis;semis, bouturage, division des rhizomes;Europe méridionale;médicinale, condiment;printemps, automne;;rustique;neutre;normal;ordinaire, léger;;au printemps pour épaissir le pied;huile essentielle toxique;potager, massifs;vivace
;;;ensoleillée;Astéracées, Composées;juillet, août;jaune;persistant;50 à 200 cm;Lactuca virosa;par les graines uniquement;Europe, sud-ouest de l'Asie, Afrique du nord;plante médicinale;printemps;;très rustique, -20 °C;basique;normal à sec;moyen et drainant;;;;friche, chemin, terrain vague;plante sauvage, adventice
;;le mildiou, les cochenilles;soleil;Lauracées;printemps;crème;persistant;jusqu'à 12m;Laurus nobilis;semis, bouturage fin août;Europe;arbuste;automne;;-10°C, sensible aux grands froids;de légérement acide à calcaire;normal;ordinaire, frais;;;;isolé, haie, bac;vivace
;;;soleil, mi-ombre;Apiacées, Ombellifères;juin à août;jaune verdâtre;caduc;70  à 180 cm;Levisticum officinalis;semis;Europe;plante herbacée;printemps;Selinum wallichianum;très rustique, -24 °C;acide à  basique;frais à humide;tolérant;Hipposelinum Levisticum, Ligusticum Levisticum, Selinum Levisticum;;;plante aromatique, plante médicinale;vivace
;;résistante aux maladies et aux insectes;plein soleil;Labiacées, Lamiacées, Labiées;été;jaune, blanc;semi-persistant;jusqu'à 1m;Melissa officinalis;semis ou division de la touffe au printemps;Europe, Asie centrale;plante aromatique, médicinale et condimentaire;printemps;;très rustique;neutre;normal à humide;pauvre, bien drainé;;pas de taille nécessaire;feuilles et fleurs aromatiques;potager, massif;vivace
;;la Chrysomèle de la menthe, coléoptère vert. pour vous en débarasser enlevez les adultes à la main dès leur apparition;soleil, mi-ombre;Labiacées, Lamiacées, Labiées;été;blanc, rose, violet;persistant;60 cm;Mentha;division de la touffe;Europe;condiment;printemps;;rustique;neutre;frais;riche en humus;;|coupez les touffes après la floraison en ne laissant que 10 cm de tiges ; cela favorise la repousse de nouvelles tiges feuillues.|;utilisée pour la cuisine, pour le thé;massif, potager, couvre-sol, pot, jardinière;vivace
;;;soleil, ombragée;Rutacées;toute l'année;blanc;persistant;jusqu'à 4-5m en milieu naturel, 1m en pot;Murraya koenigii;semis au chaud au printemps, séparation des rejets, bouturage;sud de l'Inde;plante aromatique;printemps;;non rustique, culture intérieure;légèrement acide;frais, humide;riche en humus et bien drainé;;;graines toxiques;pot, bac, serre;vivace
;;;ensoleillée;Labiacées, Lamiacées, Labiées;été;blanc, violet;persistant;40 à 100 cm;Ocimum kilimandscharicum;bouture, semis;Afrique;plante aromatique, médicinale et ornementale;printemps;;bouture, semis;tolérant;normal;drainant;;;;massif, potager, conteneur;vivace
;;le mildiou, la rouille, la pourriture blanche ou grise, la mouche de l'oignon,;plein soleil;Amaryllidacées;été;blanc;caduc;50 cm;Allium cepa;semis ou plantation des bulbes à l'automne ou au printemps;Asie centrale;légume;printemps;;variable selon les variétés;neutre, pas de sol acide;normal;léger, sableux, bien drainé;;pas de taille;bulbe comestible;potager;bulbe cultivé comme une annuelle
;;pas de maladies et parasites connus;soleil;Labiacées, Lamiacées, Labiées;de juillet à octobre;rose pâle ou blanc;persistant;de 30 à 80 cm;Origanum vulgare;semis au printemps, division de la touffe au printemps ou à l'automne, bouturage en mai;bassin méditerranéen;aromatique, médicinal;printemps, automne;;rustique;neutre à calcaire;normal;léger, bien drainé, ordinaire;;gardez vos pieds en forme;plante condimentaire;rocaille, bordure, potager;vivace
;;;soleil;Labiacées, Lamiacées, Labiées;été;blanc à rose;caduc;60 cm;Origanum marjorana;semis, division;Europe;plante à fleur herbacée, aromatique;printemps;Origanum vulgare;non rustique;basique;moyennement sec;drainant;;;;jardin d'herbe, cuisine, plante médicinale;considérée comme annuelle
;;;ensoleillée;Labiacées, Lamiacées, Labiées;juillet à septembre;blanche, rosée;caduc;40 à 60 cm;Perilla frustescens;semis;Himalaya, Est asiatique;plante condimentaire, ornementale;printemps;;peu rustique, -7°C;légèrement acide;frais à normal;drainant;Perilla ocimoïdes;;;massif, potager, potée;annuelle
;;résistant aux maladies;mi-ombre;Apiacées, Ombellifères;été;blanc;persistant;30 cm;Petroselinum crispum var. crispum;semis;Asie occidentale;condiment;printemps;;rustique;neutre;normal;frais, léger, riche en humus;Petroselinum sativum;;;potager, pot, jardinière;bisannuel
;;résistant aux maladies;mi-ombre;Apiacées, Ombellifères;été;blanc;caduc;30 cm;Petroselinum crispum var. neapolitanum;semis;Asie occidentale;plante aromatique;printemps, été;;moyennement rustique, prévoir une protection hivernale dans les régions les plus au nord;neutre;normal;frais, léger, riche en humus;;;;potager, pot, jardinière;bisannuelle
;;les pucerons, les acariens;soleil;Solanacées;juin à septembre;blanc verdâtre, jaunâtre, violet avec ou sans parties blanches;caduc;10 cm à 1,50 m;Capsicum;semis au chaud en fin d'hiver, printemps;Amérique centrale;condiment;printemps;;non rustique;légèrement acide à légèrement basique;normal;humifère, riche;;pas de taille nécessaire;feuillage toxique, fruit très piquant, ils se consomment à très petite dose;potager;annuel
;;;mi-ombre;Labiacées, Lamiacées, Labiées;été;rose à bleu;persistante;60 à 120 cm;Plectranthus amboinicus;boutures, semis;Afrique;plante d'intérieur, plante tropicale;printemps, été;;non rustique,1 °C;moyennement acide à légèrement basique;normal à frais en saison chaude, plus sec en saison froide;relativement drainant;Coleus amboinicus, Coleus aromaticus, Plectranthus  aromaticus;;;pot, condimentaire, ornementale, médicinale;vivace
;;résistant aux maladies mais gare aux araignées rouges en culture d'intérieur;exposition très lumineuse, pas de soleil direct;Pipéracées;été;blanc;persistant;Jusqu'à 5 m;Piper nigrum;semis en serre chaude (25°C) au printemps, bouturage en été;Inde (dans le Kérala et sur la côte de Malabar);liane;printemps;;15°C, non rustique;neutre;normal;mélange de terreau et de sable, léger, riche, bien drainé;;enroulez votre liane sur un gros tuteur;fruit utilisé comme épice;culture en bac, potager;vivace
;;;soleil;Labiacées, Lamiacées, Labiées;février, mars, avril;bleu;persistant;jusqu'à 1,5m;Rosmarinus officinalis;bouturage en été;Bassin méditerranéen;condiment;printemps;;rustique;calcaire;sec;ordinaire, pauvre;;;feuilles comestibles, infusions;potager;vivace
;;;soleil;Labiacées, Lamiacées, Labiées;du milieu d'été au début d'automne;rouge;semi-persistant;1,20 m;Salvia elegans;semis, bouturage au printemps, division de touffe;Mexique;sous-arbrisseau aromatique;printemps, automne;;semi-rustique;neutre, acide, calcaire;normal à sec;ordinaire, drainé, humifère;;rabattez en fin d'hiver pour conserver un port compact;feuilles utilisées en cuisine;massif, pot;vivace
;;;ensoleillée;Labiacées, Lamiacées, Labiées;avril à septembre;blanc rosé;caduc;10 à 40 cm;Satureja montana;semis, bouture;Europe méridionale;herbacée;printemps;;rustique, jusqu'à -12 °C;légèrement acide à très alcalin;normal à sec;calcaire, argileux ou limoneux;Satureja illyrica, Satureja obovata;;;massif, potée, bordure, plante aromatique, plante mellifère;vivace
;;résistant aux maladies;plein soleil;Labiacées, Lamiacées, Labiées;été;blanc, rose;persistant;de 20 à 40 cm;Satureja hortensis;semis au printemps, bouturage en été;Europe du sud;condiment;printemps;;rustique à moyennement rustique;neutre;normal;ordinaire, bien drainée;;rabattre au printemps pour conserver une touffe compacte;;potager, bordure, rocaille;annuelle ou vivace
;;éloigne les insectes;plein soleil, mi-ombre;Labiacées, Lamiacées, Labiées;mai, juin, juillet;violet;semi-persistant;60 cm;Salvia officinalis;semis, bouturage au printemps, division de la touffe;bassin méditerranéen;arbuste aromatique;printemps, automne;;très rustique;neutre, acide, calcaire;normal à sec;ordinaire, drainé, lourd accepté;;rabattez en fin d'hiver pour conserver un port compact;feuilles utilisées en cuisine, utilisées en infusion mais gare aux excès;massif, potager;vivace
